,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
0,0050,元大台灣50,6129174.0,994740991.0,162.6,162.8,161.95,162.1,-0.4,7404.0
1232,0050,元大台灣50,18674686.0,2914071977.0,158.3,158.3,154.75,155.65,-4.35,39767.0
1,0051,元大中型100,38150.0,3038828.0,79.8,79.8,79.4,79.8,0.35,202.0
1233,0051,元大中型100,210610.0,16192837.0,78.3,78.3,76.2,76.5,-2.0,593.0
2,0052,富邦科技,463825.0,76700904.0,165.35,166.1,164.85,165.1,-0.1,725.0
1234,0052,富邦科技,1410412.0,223152928.0,160.6,160.7,157.2,158.55,-3.95,2133.0
3,0053,元大電子,20433.0,1800139.0,88.0,88.75,87.9,88.1,0.1,104.0
1235,0053,元大電子,27394.0,2314180.0,85.9,85.9,83.9,83.9,-2.9,127.0
4,0055,元大MSCI金融,331468.0,8346338.0,25.27,25.27,25.13,25.15,-0.13,270.0
1236,0055,元大MSCI金融,669471.0,16537457.0,25.03,25.11,24.49,24.57,-0.58,614.0
5,0056,元大高股息,20498867.0,820027934.0,40.06,40.09,39.88,39.98,-0.11,13143.0
1237,0056,元大高股息,120260174.0,4646080588.0,39.15,39.15,38.27,38.49,-1.13,90474.0
6,0057,富邦摩台,10299.0,1235217.0,119.85,120.05,119.85,120.05,0.5,78.0
1238,0057,富邦摩台,100373.0,11599817.0,116.95,116.95,114.65,114.65,-3.05,105.0
7,0061,元大寶滬深,139256.0,2341485.0,16.91,16.91,16.78,16.87,0.01,124.0
1239,0061,元大寶滬深,332523.0,5663487.0,17.07,17.14,16.91,17.09,0.02,180.0
8,006203,元大MSCI台灣,6976.0,538599.0,77.05,77.4,77.05,77.15,0.1,75.0
1240,006203,元大MSCI台灣,13162.0,973799.0,73.95,74.1,73.85,73.85,-2.25,83.0
9,006204,永豐臺灣加權,5292.0,545554.0,103.0,103.45,103.0,103.15,0.2,88.0
1241,006204,永豐臺灣加權,31660.0,3141972.0,100.0,100.0,98.8,98.85,-3.0,120.0
10,006205,富邦上証,1460556.0,42593054.0,29.35,29.35,29.1,29.16,-0.19,206.0
1242,006205,富邦上証,916408.0,27075612.0,29.55,29.71,29.34,29.64,0.12,440.0
11,006206,元大上證50,156600.0,4357153.0,27.81,27.95,27.78,27.85,-0.07,98.0
1243,006206,元大上證50,429490.0,12149111.0,28.25,28.57,28.15,28.37,0.08,259.0
12,006207,復華滬深,21894.0,483259.0,22.0,22.14,22.0,22.09,-0.09,59.0
1244,006207,復華滬深,156306.0,3504742.0,22.47,22.47,22.24,22.47,0.0,80.0
13,006208,富邦台50,3164157.0,300234588.0,94.95,95.2,94.65,94.8,-0.15,5379.0
1245,006208,富邦台50,15157067.0,1386112501.0,92.65,92.75,90.75,91.3,-2.5,28571.0
14,00625K,富邦上証+R,,,,,,,0.0,
1246,00625K,富邦上証+R,,,,,,,0.0,
15,00631L,元大台灣50正2,1828836.0,372344232.0,203.3,204.95,202.75,204.05,0.25,1670.0
